tweet_id,created_at,text,predicted_intent,human_intent,correct
1680114,2017-11-06 15:55:21+00:00,@AmazonHelp I have received an email but there is a problem with it. Is it possible to dm someone?,account_access,,
2823191,2017-11-27 09:17:07+00:00,"@AmazonHelp No, I have a private account. I made a different order from your app, which then got partially duplicated into a new, separate order. Normally order from desktop and never had a single problem. First time ordering from the app and this is what happens. 🙄",account_access,,
2104372,2017-11-13 02:04:38+00:00,@AmazonHelp Asked them to reopen the account they just looked into the last email they sent me and resend ed it,account_access,,
1587334,2017-11-05 00:15:46+00:00,"@AmazonHelp But they were since months , and now all of a sudden they aren't , and not even close or far from any of my pincode it's your server issue",account_access,,
784721,2017-10-12 08:45:42+00:00,@AmazonHelp I only did it to get early access tickets,account_access,,
2493669,2017-11-15 18:26:59+00:00,@AmazonHelp Yes an error message. My Kindle wasn’t downloading books so I reset it and deregistered it and now I can’t re-register it.,account_access,,
284052,2017-10-06 13:28:34+00:00,"@AmazonHelp in his words he ""cannot able to send you confirmations saar"". He would not let me speak to superiors, nor would he send me a confirmation.",account_access,,
475143,2017-12-01 17:07:33+00:00,@AmazonHelp Have regained access to ny account but you still have a hold on it why,account_access,,
785504,2017-10-12 08:49:23+00:00,@AmazonHelp Well why do I've to fill this long form every time? Why can't you take the order ID on DM and sort it ?,delivery_address_options,,
1780186,2017-10-17 23:29:31+00:00,@AmazonHelp It may have been delivered but as it’s a block of flats I don’t know to whom and the web site is saying the courier handed them to me.,delivery_address_options,,
2906568,2017-11-28 20:08:50+00:00,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",delivery_address_options,,
2454048,2017-10-29 19:37:45+00:00,"@AmazonHelp Orders are always messed up. I order 3 qty of an item, and ea is shipped separately, on different days. Who does that? Prime is not worth it",delivery_address_options,,
381419,2017-10-25 05:59:12+00:00,@AmazonHelp Hi. The service centre is not cooperating and not responding on service denial letter too. Handset is being moved from one centre 2,delivery_address_options,,
448230,2017-11-30 20:53:55+00:00,@AmazonHelp OK. I will wait. What about my orders that have incorrect shipping addresses? One is set to arrive tomorrow and one is TV installation for next week.,delivery_address_options,,
740444,2017-10-11 13:32:18+00:00,"@AmazonHelp No I signed for mine just fine, if late. I am tho concerned as to whether or not they have abandoned everyone else's parcels in my name..",delivery_address_options,,
2532513,2017-10-30 12:10:07+00:00,@AmazonHelp 30th to the 2nd. Just pains me that it's coming from abroad as I needed the items!!!!,delivery_address_options,,
815486,2017-11-08 10:06:40+00:00,@AmazonHelp I have sent an email but it says will take up to 12 hours to respond. As my next day delivery is now 4 days late I would quite like this resolved sooner than that.,delivery_issue,,
2774208,2017-11-21 14:39:27+00:00,@AmazonHelp I presume amazon logistics since it says left depo 4:30 am Stretford.,delivery_issue,,
2931888,2017-11-29 09:23:56+00:00,"@AmazonHelp thanks, I have already used this and received no response, whats the timescale for responses to complaints?",delivery_issue,,
818895,2017-10-12 21:33:01+00:00,@AmazonHelp Most of my orders shipped via @118706 are delivered late. Waiting on one now. I'll call you in a bit.,delivery_issue,,
561616,2017-12-02 23:14:56+00:00,@AmazonHelp Okay thanks! Does this mean they tried to deliver at 5 or were unable to? Just weird cause we were home!,delivery_issue,,
1823896,2017-10-30 17:35:44+00:00,"@AmazonHelp It's Yodel. Delivery guy claims he didn't have package, scheduled for delivery on Sat, till Sun; web chat said might not arrive till Tues.&gt;",delivery_issue,,
706809,2017-10-10 19:35:08+00:00,@AmazonHelp It was supposed to be here today and it's saying I have to wait another week for it it's beyond a joke now,delivery_issue,,
1696853,2017-10-29 14:59:40+00:00,@AmazonHelp USPS in both cases. Still waiting for the good to be delivered. Your system say: delivered. happend again 15 days ago and you had lost them,delivery_issue,,
752382,2017-10-11 14:26:06+00:00,"@AmazonHelp I have done that already, emailed your customer team..... Radio silence. Guess cancelling the order is the only option left.",order_cancellation,,
1219379,2017-10-16 15:17:20+00:00,"@AmazonHelp Cancelled. Next time you might try apologising. Or better yet, end these sharp practises. You're a $150 bn business, not Del Boy!",order_cancellation,,
1159023,2017-10-15 17:53:25+00:00,@AmazonHelp Cool. I have cancelled my order. I am afraid transaction do work that way also.,order_cancellation,,
2957044,2017-11-30 06:50:31+00:00,@AmazonHelp Thanks for your help but I chatted with customer service and had the order cancelled and refunded. Seems like it may have been lossed by the carrier.,order_cancellation,,
17682,2017-11-01 05:15:25+00:00,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service",order_cancellation,,
837520,2017-10-13 10:46:55+00:00,@AmazonHelp @115850 @115821 @37005 @72281 just now one more cancelled can you please guarantee that my next order will not be cancelled,order_cancellation,,
2530208,2017-10-30 10:24:51+00:00,@AmazonHelp I did not order from amazon only to have my order cancelled or to get extended prime membership with is rubbish anyway. I just simply want amazon to deliver on the said date in my confirmation and not LIE about attempting delivery.,order_cancellation,,
571786,2017-12-03 09:59:52+00:00,"@AmazonHelp Thank you, please check whether my order is cancelled bcoz its showing a blank page after i clicked cancel item.",order_cancellation,,
779536,2017-10-12 05:29:50+00:00,"@AmazonHelp I was supposed to receive my package by 9th Oct, instead got a delivery notification but no product.#AmazonIndia#amazon https://t.co/0FoTkdhxS7",order_status,,
343078,2017-11-19 18:19:08+00:00,"@AmazonHelp for both orders they were ONTRAC, and the one thing that arrived was from AMZL US",order_status,,
2694981,2017-11-19 18:53:01+00:00,"@AmazonHelp Still sitting in a warehouse less than 10 miles from my house, according to the tracking info. I needed it by 5:30, so I'm assuming I'm not going to get it in time. Shame I can't go pick it up.",order_status,,
435640,2017-10-10 17:18:39+00:00,@AmazonHelp this is in relation to another order. I have a reference number that I can't seem to use to track my delivery?,order_status,,
254014,2017-10-06 17:40:52+00:00,"@AmazonHelp Yes, I have been told that his delivery route is finished for the day!",order_status,,
2449451,2017-11-15 03:37:02+00:00,@AmazonHelp It hasn’t been processed! That’s the point!,order_status,,
2836910,2017-11-27 15:27:39+00:00,"@AmazonHelp I had specifically requested to confirm before I placed the order, this is exactly what I didn't want to face.",order_status,,
233119,2017-10-05 11:40:17+00:00,@AmazonHelp Do you need my order number/info to ensure that this will be the case? Thanks,order_status,,
1623698,2017-10-29 23:40:59+00:00,"@AmazonHelp It is set to amazon, still not working :(",other_support,,
2166640,2017-11-09 10:01:12+00:00,@AmazonHelp No problem sir if you will not solve my problem then i will go to the media,other_support,,
1311545,2017-10-27 05:58:44+00:00,@AmazonHelp Have filled out the details again.,other_support,,
2298820,2017-11-13 18:04:04+00:00,@AmazonHelp please ask your amazon support team to provide you detaies.Or elaborase what paper should I submit?,other_support,,
1114832,2017-10-24 08:59:40+00:00,@AmazonHelp livraison prévu pour le 23 octobre avant 20h le truc c'est que j'ai paye des frais de livraison en plus pour être livre le 23,other_support,,
1353519,2017-10-18 16:54:43+00:00,@AmazonHelp ¿En qué apartado tendría que hacerlo? https://t.co/6aEJLv8lRn,other_support,,
2837073,2017-11-28 02:55:43+00:00,@AmazonHelp @387198 Dear @115850 @AmazonHelp very disappointing to see there is font rendering issue for kannada and very less kannada ebooks for @174528 . Pls fix it before making claims of having kannada language support on kindle. @115851,other_support,,
1353532,2017-10-16 15:17:09+00:00,@AmazonHelp I look forward to hearing from you.,other_support,,
2791990,2017-12-02 18:26:46+00:00,@AmazonHelp at the very least i can go in and deny all amazon seller central charges on my visa. ironically it's an amazon visa. that at least makes me feel a little bit better.,payment_billing,,
835159,2017-10-13 08:22:50+00:00,@AmazonHelp Let it be. I want my money. Bank is charging interest on daily basis.,payment_billing,,
198411,2017-10-04 20:26:41+00:00,"@AmazonHelp Just when you think the level of service couldn't get any disgraceful.....bam you speak to a supervisor who sounds like Stephen Hawkin and constantly mutes the call, tells you he can miraculously see the payment, yet can't tell you how, or what's different from the last! #BS 😡😡",payment_billing,,
502428,2017-12-02 05:22:16+00:00,"@AmazonHelp YOU UNDERSTAND MY CONCERN???? Where the hell is my damn package? None of your systems work for this. What a bunch of liars. What can I do, pick a time to call your premium number. Go flip yourselves. You just lie, and wait.",payment_billing,,
1603891,2017-10-17 11:14:06+00:00,@AmazonHelp Yes but there is no response who is responsible this type of case,payment_billing,,
2910300,2017-11-28 21:49:10+00:00,@AmazonHelp Whats the point because the same thing is just going to be said then no ones going to get in contact with me. Ridiculous shouldn't take my money for no reason what so ever in the first place!,payment_billing,,
2722368,2017-10-31 18:37:54+00:00,"@AmazonHelp but i just got an email saying i could list things, and i've been charged 19p for something",payment_billing,,
2484050,2017-11-15 15:53:07+00:00,"@AmazonHelp I am disheartened by ur representative's actions. Statements like 'I can't help', can't transfer call and then hanging up on the customer shouldn't be practiced by any company, and definitely not by someone who is representing Amazon. Form filled. Awaiting response.",payment_billing,,
2976448,2017-11-30 03:28:06+00:00,"@AmazonHelp Yes, they were both prime &amp; from the same seller both times.",prime_membership,,
2290689,2017-11-12 10:04:45+00:00,@AmazonHelp So why do they have prime attributes if not eligible for prime delivery?,prime_membership,,
937282,2017-10-21 18:27:38+00:00,@AmazonHelp Prime video app for PS4. App and menus load but all titles are blank and app is unresponsive to any input.,prime_membership,,
2455770,2017-11-16 09:16:12+00:00,@AmazonHelp I got my wires crossed .. only the deluxe edition comes with early access .. I’ve got my hero code now .. thanks for the help,prime_membership,,
2278650,2017-11-11 19:17:46+00:00,"@AmazonHelp Yes, but i'm just tired of paying for 2 day service and not getting it. 5 of my last 8 Prime orders were delivered in 3 days. Not impatient, but when I'm paying for a service, i expect it to be fulfilled.",prime_membership,,
2221858,2017-11-19 06:35:26+00:00,@AmazonHelp when a non prime user can buy it ?,prime_membership,,
766907,2017-10-11 22:31:41+00:00,@AmazonHelp Prime member on Amazon.in,prime_membership,,
27883,2017-11-01 11:41:36+00:00,@AmazonHelp But I haven’t even consented to prime before I want my money back,prime_membership,,
74772,2017-11-30 11:09:27+00:00,"@AmazonHelp Deprioritized? How about ""neutralized."" I don't ever want you to use Amazon Logistics for me. It's a nightmare. I'm not paying Prime to have my packages delivered by my local pizza delivery guy. I wouldn't trust these people with breadsticks, let alone my Amazon purchases..",product_availability_pricing,,
137125,2017-11-24 10:45:18+00:00,@AmazonHelp The ‘buy tickets’ button doesn’t work on mobile or desktop and I think the date is incorrect too https://t.co/fYbEUuL5fS,product_availability_pricing,,
1558751,2017-11-04 14:23:17+00:00,"@AmazonHelp hmm, thanks. i'm wondering if it's actually an AD rather than a recommendation, as noted it's at the top, not among other recommendations,",product_availability_pricing,,
