tweet_id,created_at,text,predicted_intent,human_intent,correct,generated_reply,reply_valid,validation_issues
1680114,2017-11-06 15:55:21+00:00,@AmazonHelp I have received an email but there is a problem with it. Is it possible to dm someone?,account_access,other_support,0,"Sure, you can DM us here. Please keep in mind we can’t view your account details over Twitter, so we’ll continue to help you privately through direct messages.",True,
2823191,2017-11-27 09:17:07+00:00,"@AmazonHelp No, I have a private account. I made a different order from your app, which then got partially duplicated into a new, separate order. Normally order from desktop and never had a single problem. First time ordering from the app and this is what happens. 🙄",account_access,other_support,0,"We’re sorry you’re seeing a duplicate order after using the app. Please check Your Orders to confirm which order you’d like to keep and, if possible, cancel the duplicate directly from the app. If the duplicate can’t be cancelled or you need further assistance, contact Amazon Support through the Help → Customer Service section in the app or on the website. Clearing the app’s cache and ensuring it’s updated can also help prevent this issue in the future. Thank you for your patience.",True,
2104372,2017-11-13 02:04:38+00:00,@AmazonHelp Asked them to reopen the account they just looked into the last email they sent me and resend ed it,account_access,account_access,1,"Hi there, I’m sorry you’re still having trouble with your account. Please locate the email from our Account Specialists (check your spam or junk folders as well) and follow any instructions it contains, or reply directly to that message. If you haven’t received an email, let us know so we can have the support team reach out to you.",True,
1587334,2017-11-05 00:15:46+00:00,"@AmazonHelp But they were since months , and now all of a sudden they aren't , and not even close or far from any of my pincode it's your server issue",account_access,account_access,1,"We’re sorry you’re seeing a sudden change in availability. Whether a product can be delivered or exchanged at your pincode depends on the current coverage of our delivery partners and the specific item’s inventory. If a product that previously worked is now unavailable, it’s likely due to a recent update in partner or stock",True,
784721,2017-10-12 08:45:42+00:00,@AmazonHelp I only did it to get early access tickets,account_access,other_support,0,Sorry to hear you’re having trouble with the early‑access tickets. Please reach out to Amazon Customer Support directly from your account so they can review the details and help resolve the issue.,True,
2493669,2017-11-15 18:26:59+00:00,@AmazonHelp Yes an error message. My Kindle wasn’t downloading books so I reset it and deregistered it and now I can’t re-register it.,account_access,account_access,1,"Hi, I’m sorry you’re having trouble re‑registering your Kindle. Could you let me know which Kindle model you have and confirm that you’re",True,
284052,2017-10-06 13:28:34+00:00,"@AmazonHelp in his words he ""cannot able to send you confirmations saar"". He would not let me speak to superiors, nor would he send me a confirmation.",account_access,other_support,0,"We’re sorry you’ve had trouble getting a confirmation and speaking with a supervisor. To investigate this further, please reach out to Amazon Customer Service through the Help section on the Amazon website (or the Contact Us page) and choose the chat or phone‑call option. A representative will be able to verify your account and provide the needed confirmation.",True,
475143,2017-12-01 17:07:33+00:00,@AmazonHelp Have regained access to ny account but you still have a hold on it why,account_access,account_access,1,"We’re sorry you’re still seeing a hold on your account. Please log out of all devices, then sign back in to see if the hold clears. If it remains, check the email associated with your account (including spam/junk) for any verification requests from our specialist team. If you haven’t received anything or need further help, you can reach Amazon Customer Support through the Help section in the app or on the website.",True,
785504,2017-10-12 08:49:23+00:00,@AmazonHelp Well why do I've to fill this long form every time? Why can't you take the order ID on DM and sort it ?,delivery_address_options,other_support,0,"We understand the frustration with the form. For security reasons we can’t handle order details through direct messages. Please share your order ID and any relevant information using the secure form we provided, and our team will address your request promptly. Thank you for your patience.",True,
1780186,2017-10-17 23:29:31+00:00,@AmazonHelp It may have been delivered but as it’s a block of flats I don’t know to whom and the web site is saying the courier handed them to me.,delivery_address_options,delivery_issue,0,"Hi @AmazonHelp, sorry to hear about the missing package. Since it was delivered to a block of flats, please check with your building’s reception, concierge, or neighbors to see if they received it on your behalf. If you’re still unable to locate the item after a day, please reach out to Amazon Customer Service so we can investigate further and arrange a solution.",True,
2906568,2017-11-28 20:08:50+00:00,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",delivery_address_options,delivery_address_options,1,"We’re sorry you had to make that trip with a TV and a PS4. When a carrier can’t leave a package at the door, they’ll return it to the post office, which is what happened here.  

To help avoid this in the future, you can add a “Leave at front door” delivery instruction in your Amazon account (Your Orders → Track package → Add delivery instructions) or choose a nearby Amazon Locker or alternate address for large items.  

If you’d like us to arrange a redelivery or update the address for this order, please go to Your Orders, select the affected order, and choose “Problem with delivery.” Our team will then be able to assist you further.  

Thank you for your patience, and we hope",True,
2454048,2017-10-29 19:37:45+00:00,"@AmazonHelp Orders are always messed up. I order 3 qty of an item, and ea is shipped separately, on different days. Who does that? Prime is not worth it",delivery_address_options,delivery_issue,0,"I’m sorry you’ve had to receive separate shipments for a single order—that can happen when items are stocked at different fulfillment centers. While Prime aims to deliver quickly, split shipments sometimes affect the delivery timing. If you’d like us to look into this order or discuss options for combining shipments in the future, please reach out to Amazon Support through the Help section in your account. We appreciate your feedback and want to make your Prime experience better.",True,
381419,2017-10-25 05:59:12+00:00,@AmazonHelp Hi. The service centre is not cooperating and not responding on service denial letter too. Handset is being moved from one centre 2,delivery_address_options,delivery_address_options,1,"We’re sorry you’re experiencing this difficulty. Please reach out directly to the handset manufacturer’s support team, as they can provide the required service‑denial letter and coordinate any further repairs or transfers. Once you have that letter, forward it to us so we can assist you with the next steps. Thank you for your patience.",True,
448230,2017-11-30 20:53:55+00:00,@AmazonHelp OK. I will wait. What about my orders that have incorrect shipping addresses? One is set to arrive tomorrow and one is TV installation for next week.,delivery_address_options,delivery_address_options,1,"I’m sorry the shipping addresses are incorrect. If the orders haven’t shipped yet, you can try updating the address in Your Orders or contact Amazon Support by phone or chat",True,
740444,2017-10-11 13:32:18+00:00,"@AmazonHelp No I signed for mine just fine, if late. I am tho concerned as to whether or not they have abandoned everyone else's parcels in my name..",delivery_address_options,delivery_issue,0,"We’re sorry you’re concerned about other parcels. If you suspect any deliveries were left unattended or mis‑delivered, please contact Amazon Customer Service through the Help section in your account (or via the “Contact Us” option) and provide the order",True,
2532513,2017-10-30 12:10:07+00:00,@AmazonHelp 30th to the 2nd. Just pains me that it's coming from abroad as I needed the items!!!!,delivery_address_options,delivery_issue,0,"I understand how frustrating it is to see your items coming from abroad when you needed them sooner. Please review the order in Your Orders to see if you can edit the shipping address or choose a different delivery option. If you’re unable to make changes there, contacting Amazon Customer Service directly will allow them to explore any available alternatives for you.",True,
815486,2017-11-08 10:06:40+00:00,@AmazonHelp I have sent an email but it says will take up to 12 hours to respond. As my next day delivery is now 4 days late I would quite like this resolved sooner than that.,delivery_issue,delivery_issue,1,"Hi @AmazonHelp, I’m sorry your delivery is now four days late. Our email team usually replies within 12 hours, but given the urgency you can also reach us by phone or chat for a faster response. Please have your order details handy so we can investigate and get this resolved as quickly as possible.",True,
2774208,2017-11-21 14:39:27+00:00,@AmazonHelp I presume amazon logistics since it says left depo 4:30 am Stretford.,delivery_issue,delivery_issue,1,"Thank you for confirming that Amazon Logistics handled the shipment. To investigate this delivery further and explore resolution options, please contact Amazon Support by phone or chat. We’re here to help!",True,
2931888,2017-11-29 09:23:56+00:00,"@AmazonHelp thanks, I have already used this and received no response, whats the timescale for responses to complaints?",delivery_issue,delivery_issue,1,"We’re sorry you haven’t heard back yet. Our team typically replies to complaints within 24 hours, and we’ll do our best to get you an update as soon as possible. Please check the email you received from us (including your spam folder) and reply to that thread so we can continue assisting you. If you need immediate help, you can also reach out to Amazon Support directly. Thank you for your patience.",True,
818895,2017-10-12 21:33:01+00:00,@AmazonHelp Most of my orders shipped via @118706 are delivered late. Waiting on one now. I'll call you in a bit.,delivery_issue,delivery_issue,1,"Sorry, we couldn't generate a complete response to your request. Please contact Amazon Support for further assistance.",True,
561616,2017-12-02 23:14:56+00:00,@AmazonHelp Okay thanks! Does this mean they tried to deliver at 5 or were unable to? Just weird cause we were home!,delivery_issue,delivery_issue,1,"I understand the confusion. Delivery attempts are recorded with a timestamp, so we can confirm whether a driver tried to deliver at 5 PM. Please reach out to Amazon Customer Service by phone or chat and provide your order details so we can investigate this further.",True,
1823896,2017-10-30 17:35:44+00:00,"@AmazonHelp It's Yodel. Delivery guy claims he didn't have package, scheduled for delivery on Sat, till Sun; web chat said might not arrive till Tues.&gt;",delivery_issue,delivery_issue,1,We’re sorry you’re experiencing this delay with Yodel. Please reach out to Amazon Support through the chat or phone options in your account so we can investigate the delivery status and arrange a resolution for you.,True,
706809,2017-10-10 19:35:08+00:00,@AmazonHelp It was supposed to be here today and it's saying I have to wait another week for it it's beyond a joke now,delivery_issue,delivery_issue,1,"@AmazonHelp We’re sorry for the delay. Delivery may still be in transit and could arrive later today. If you haven’t received it by the end of the day, please let us know or contact Amazon Support so we can investigate further.",True,
1696853,2017-10-29 14:59:40+00:00,@AmazonHelp USPS in both cases. Still waiting for the good to be delivered. Your system say: delivered. happend again 15 days ago and you had lost them,delivery_issue,delivery_issue,1,I’m sorry you’re still waiting for your package even though the tracking shows it as delivered. Please contact Amazon Customer Service (available 24/7) so we can open an investigation with USPS and arrange a replacement or refund for you.,True,
752382,2017-10-11 14:26:06+00:00,"@AmazonHelp I have done that already, emailed your customer team..... Radio silence. Guess cancelling the order is the only option left.",order_cancellation,order_cancellation,1,"I’m sorry you haven’t received a response yet. To cancel your order as quickly as possible, please contact Amazon Customer Service directly by phone or through the chat option in the Help section and have your order number handy. If you received an email from our team, you can also reply to that message for further assistance.",True,
1219379,2017-10-16 15:17:20+00:00,"@AmazonHelp Cancelled. Next time you might try apologising. Or better yet, end these sharp practises. You're a $150 bn business, not Del Boy!",order_cancellation,order_cancellation,1,"@AmazonHelp We're sorry to hear about your experience with the cancellation and understand your frustration. For assistance with your order and any refund, please contact Amazon Customer Service through the Help section in your account. Thank you.",True,
1159023,2017-10-15 17:53:25+00:00,@AmazonHelp Cool. I have cancelled my order. I am afraid transaction do work that way also.,order_cancellation,order_cancellation,1,"Hi @AmazonHelp, I see you’ve cancelled your order. After the cancellation is processed, a full refund will be issued to your original payment method and you’ll receive a confirmation email. If the refund doesn’t appear within a few business days, please reach out to Amazon Support for further assistance.",True,
2957044,2017-11-30 06:50:31+00:00,@AmazonHelp Thanks for your help but I chatted with customer service and had the order cancelled and refunded. Seems like it may have been lossed by the carrier.,order_cancellation,order_cancellation,1,"We’re sorry your order was lost, but glad to hear a refund has been issued. If you have any other questions or need further assistance, please let us know.",True,
17682,2017-11-01 05:15:25+00:00,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service",order_cancellation,order_cancellation,1,"@AmazonHelp I'm sorry you’ve had this experience. We’d like to resolve the issue with your order—please reach out to Amazon Customer Service through the Help Center, phone, or chat so we can assist you further.",True,
837520,2017-10-13 10:46:55+00:00,@AmazonHelp @115850 @115821 @37005 @72281 just now one more cancelled can you please guarantee that my next order will not be cancelled,order_cancellation,delivery_issue,0,"We’re sorry to hear that your recent order was cancelled. To look into the cause and help ensure future orders go through without issue, please reach out to Amazon Customer Service through the Help section in your account. Our team will be happy to investigate and work with you on a solution.",True,
2530208,2017-10-30 10:24:51+00:00,@AmazonHelp I did not order from amazon only to have my order cancelled or to get extended prime membership with is rubbish anyway. I just simply want amazon to deliver on the said date in my confirmation and not LIE about attempting delivery.,order_cancellation,order_cancellation,1,"Hi @AmazonHelp, I’m sorry you’ve experienced",True,
571786,2017-12-03 09:59:52+00:00,"@AmazonHelp Thank you, please check whether my order is cancelled bcoz its showing a blank page after i clicked cancel item.",order_cancellation,order_cancellation,1,We’re sorry you’re seeing a blank page when trying to cancel your order. For security reasons we can’t view your order details here. Please contact Amazon Customer Service through the Help & Customer Service section in the app or on the Amazon website so a representative can verify the cancellation for you.,True,
779536,2017-10-12 05:29:50+00:00,"@AmazonHelp I was supposed to receive my package by 9th Oct, instead got a delivery notification but no product.#AmazonIndia#amazon https://t.co/0FoTkdhxS7",order_status,delivery_issue,0,We’re sorry you didn’t receive your package as expected. Please contact Amazon Customer Support so we can investigate the delivery and get this resolved for you.,True,
343078,2017-11-19 18:19:08+00:00,"@AmazonHelp for both orders they were ONTRAC, and the one thing that arrived was from AMZL US",order_status,order_status,1,"Hi @AmazonHelp, we see both of your orders were shipped with ONTRAC and one arrived via AMZL US. To investigate the status and any issues, please share your order numbers with Amazon Support so we",True,
2694981,2017-11-19 18:53:01+00:00,"@AmazonHelp Still sitting in a warehouse less than 10 miles from my house, according to the tracking info. I needed it by 5:30, so I'm assuming I'm not going to get it in time. Shame I can't go pick it up.",order_status,order_status,1,"I understand how frustrating this must be. If the package doesn’t arrive by the time you need it, please reach out to Amazon Customer Service via phone or chat so we can look into alternative options for you.",True,
435640,2017-10-10 17:18:39+00:00,@AmazonHelp this is in relation to another order. I have a reference number that I can't seem to use to track my delivery?,order_status,order_status,1,"We’re sorry you’re having trouble tracking your delivery with the reference number. Please sign in to your Amazon account, go to the Help & Customer Service section, and choose “Track my order” or contact us directly for assistance.",True,
254014,2017-10-06 17:40:52+00:00,"@AmazonHelp Yes, I have been told that his delivery route is finished for the day!",order_status,order_status,1,Sorry to hear the driver mentioned the route is finished,True,
2449451,2017-11-15 03:37:02+00:00,@AmazonHelp It hasn’t been processed! That’s the point!,order_status,order_status,1,"We understand how frustrating it can be when an order or refund hasn’t been processed yet. You can check the current status in the Your Orders section of your account; refunds typically take 5‑7 business days after they’re marked as processed. If the status still shows pending or you don’t see the refund after that time, please reach out to Amazon Customer Service so we can investigate further and help resolve the issue.",True,
2836910,2017-11-27 15:27:39+00:00,"@AmazonHelp I had specifically requested to confirm before I placed the order, this is exactly what I didn't want to face.",order_status,order_status,1,"I’m sorry you ran into this issue. You can review the order details and any confirmation messages in Your Orders on the Amazon website or app. If you need to modify or cancel the order, use the Cancel items option there, or contact Amazon Customer Service for further",True,
233119,2017-10-05 11:40:17+00:00,@AmazonHelp Do you need my order number/info to ensure that this will be the case? Thanks,order_status,order_status,1,"We don’t have access to order details through Twitter. To check the status of your order, please sign in to your Amazon account and visit the Help & Customer Service page or the Your Orders section, where our support team can assist you further.",True,
1623698,2017-10-29 23:40:59+00:00,"@AmazonHelp It is set to amazon, still not working :(",other_support,other_support,1,"Sorry to hear it’s still not working. Could you let us know what you’re seeing on the screen or any error message you get? In the meantime, try clearing your browser’s cache and cookies, then attempt the action again. If the problem persists, please reach out to Amazon Support for further help.",True,
