tweet_id,created_at,text,intent,label_notes
2798334,2017-11-21 23:30:52+00:00,@AmazonHelp Then why does it say when you’re shopping “want it by Wednesday 11/22? Order in the next 2 hours!” That seems pretty simple to understand and I am always within those parameters.,,
2533521,2017-10-30 12:47:58+00:00,@AmazonHelp A seller but thru Amazon. Having probs logging into account at min to contact them.,,
686709,2017-11-23 14:17:53+00:00,"@AmazonHelp Ordered the red 8"" 16gb about 15 minutes ago (with a few other things)! Thanks :) It will be here Saturday. Now how do I keep it a secret until Christmas ? That's a bigger question. Ha ha 😂",,
1255701,2017-10-27 13:02:28+00:00,@AmazonHelp Thank you for providing extremely late delivery with wrong product size and poor quality.,,
963281,2017-10-14 04:09:46+00:00,@AmazonHelp Yes. It took over 30 minutes. No I was already upset so I wanted it canceled right away.,,
1263384,2017-10-26 11:32:30+00:00,@AmazonHelp Ya lo resolví. Cancelé pedido y volví a realizarlo porque me confundí en un dato de la dirección.,,
2394456,2017-11-14 12:04:05+00:00,"@AmazonHelp Il s'agit de la poste, j'ai un numéro de suivi. Il n'y a pas encore de prise en charge par votre SAV",,
2931921,2017-11-29 08:25:54+00:00,"@AmazonHelp The last communication I had was with your Thomas, to whose email I replied on Monday morning. In it I asked for delivery after 2pm on Friday (1st December). I don't appear to have had any reply.",,
775352,2017-10-12 02:52:49+00:00,"@AmazonHelp Added new payment method (corporate card). System makes new card default 1click, no warning. Bought personal items with 1click on corp card.",,
31306,2017-11-01 12:50:21+00:00,"@AmazonHelp Hi DC. Looks like the return is to an Amazon Fulfillment Services in Saint Anne, IL. You are welcome to DM me if that is easier.",,
73640,2017-11-30 10:51:05+00:00,@AmazonHelp i sold my product on ur site..the product was taken nd from dat tym neither the product is returned nor my money..take some serious actioc as soon as possible,,
1227296,2017-10-26 12:34:55+00:00,"@AmazonHelp From marketing and past service, customers expect prime in two days - that's why they pay. Don't mark as prime if that's not reality.",,
2229747,2017-10-19 17:05:30+00:00,"@AmazonHelp Ah ok, the distinction being purchased films are available that I download, but not prime movies that I download?",,
2940175,2017-11-29 13:44:39+00:00,"@AmazonHelp No I didn't receive any mail regarding that my account blocked,That's not an issue for me!",,
476839,2017-12-01 11:42:29+00:00,"@AmazonHelp That just states postal codes. I've received a release day delivery on The Witcher 3's release. But the last 2 games, Pokken Tournament DX and Xenoblade Chronicles 2 have not been on release. Is there something about Nintendo games not being available on release?",,
2863361,2017-11-27 23:19:39+00:00,"@AmazonHelp I am aware, however my apartment office only allows packages to be picked up before 5pm CST.",,
2460294,2017-11-26 18:47:09+00:00,@AmazonHelp Hi Az i ordered via https://t.co/hGyExr29wS,,
671261,2017-11-23 21:17:04+00:00,"@AmazonHelp My current order ended up shipping today, shocked since it's Thanksgiving day. My previous order never shipped and I ended up just canceling and buying locally instead. I figured this was going to be a repeat of last time due to it not shipping before the holiday.",,
2613309,2017-11-17 13:54:57+00:00,@AmazonHelp First time I was told the package was scanned on the truck in error and would be delivered the next day. Only to be told the next day that it was “lost” and I still never received the 5 items ordered. Two refunded and 3 delayed without expedited shipping.,,
2858115,2017-11-27 23:10:26+00:00,@AmazonHelp No. Helpfully the app is just saying that my delivery was expected by today. https://t.co/RjF5px2uha,,
412320,2017-10-10 00:53:27+00:00,@AmazonHelp AMAZON DELIVERY. I literally dread ordering now because I keep getting Amazon Delivery as the carrier. I’m elated when it’s UPS or USPS.,,
1147830,2017-10-25 16:02:21+00:00,@AmazonHelp I canceled my order today after they moved time of delivery to next week. I’m done with Amazon😡,,
419464,2017-10-11 13:02:49+00:00,@AmazonHelp Received replacement. TY I would recommend to have some kind of authentication from customer end before agents can mark product as delivered,,
2137935,2017-11-09 01:20:19+00:00,"@AmazonHelp yes, UPS but particularly USPS. They mark packages delivered that haven't been or guarantee dates that won't happen.",,
1447952,2017-11-02 17:15:24+00:00,@AmazonHelp Yes. They said they’ll deliver when they can. I live about an hour north of your biggest hub and can’t get packages delivered timely!,,
140973,2017-11-24 17:39:46+00:00,"@AmazonHelp And now the price has dropped by £50, but on chat they say the only way to get this price is to re-order it? Is this really true, I've got to mess around canceling and reordering, and yet another delay in my order arriving https://t.co/VJeFHUOY9r",,
2686032,2017-10-31 17:23:47+00:00,"@AmazonHelp Yup, figured as much - just worried when folks who pre-ordered after me were getting delivery updates for a limited item kind of thing",,
181208,2017-11-25 02:13:53+00:00,@AmazonHelp But my (desperate) complaint is that I’ve tried that (twice). A prime (pun intended as it’s not great English however I couldn’t stop myself) example of terrible customer service is when you fail to even acknowledge what a customer is saying. #terriblecustomerservice,,
345100,2017-10-08 02:27:08+00:00,"@AmazonHelp I requested a cancellation on an order, I got an email that said it could not be cancelled from Amazon, then shop cancelled it for me.",,
502585,2017-12-01 20:31:54+00:00,@AmazonHelp The feedback is that I can’t remember the last next day order I made that wasn’t delayed in the same way. It’s ridiculous. I don’t understand why the company even pretends it’s a service they offer. Thanks for the link. Bye!,,
566570,2017-12-03 01:56:58+00:00,"@AmazonHelp That’s key problem: assured 2-3 weeks, no date, but agent confirmed false/placeholder date 6 weeks later as TBD for post-order update purposes (not shown in order process, in which case order would not have been placed). Have called 3 times over last week and half to get info.",,
2869522,2017-11-28 02:14:30+00:00,@AmazonHelp No thanks! You should have just left the package. It’s an overnight. Now I’m gonna return it.,,
1780192,2017-10-18 09:02:45+00:00,@AmazonHelp It was a pre order game wwe 2k18 that said pre order for release day delivery which was yesterday!,,
1126653,2017-10-15 14:25:40+00:00,@AmazonHelp I had ordered a centre table and was scheduled for installation and no one came called customer service and got a rude reply with no help,,
1209525,2017-10-25 11:56:51+00:00,@AmazonHelp Pochi giorni prima della sped. ho ricevuto Mail che diceva che l’ordine era cancellato per “problemi con la casa editrice”. DM per ulteriori,,
485305,2017-12-01 18:23:09+00:00,"@AmazonHelp I took a look at my app, and I placed the order on the 21st, because it was a pre-order. But it still says now that it's giving an estimate time for when it's going to be delivered. I understand and I will wait, but I was hoping that the estimated time what have shown by now.",,
2626996,2017-11-04 01:05:37+00:00,"@AmazonHelp Thanks Amazon.@AmazonHelp , three delays in a row. My package gots delayed again😑",,
1950339,2017-10-20 02:53:36+00:00,"@AmazonHelp Hi team, any updates on this. I was to get an update by EOD yesterday to place an order... https://t.co/U0vtYUW4Xj",,
1101926,2017-10-24 08:48:40+00:00,@AmazonHelp I missed the return window,,
1537455,2017-10-17 02:00:36+00:00,"@AmazonHelp Why don't you do whatever is required to get my order delivered ?? What sort if ""Help"" is this !! Acting like a govt office !! Not expected",,
2290809,2017-11-12 10:06:34+00:00,"@AmazonHelp Yes, after 15 min on hold and no apology I managed to get a refund but not the item I wanted. Definitely never using @232617 again",,
480351,2017-12-01 13:45:03+00:00,"@AmazonHelp No I haven't. This is my 2nd attempt to buy a tv, the first time you guys have scammers and it never delivered and now i buy and stock by you and with my prime still no tv and i was offered a low $25 gift card. I want my tv and a better appeasement offer. This is frustrating",,
516614,2017-12-02 15:25:28+00:00,"@AmazonHelp We're sorry your package is late We don't have a new delivery date from UPS. Main problem was this was a switch game, release day. I am prime and feel like I am getting shafted",,
966310,2017-10-22 00:17:56+00:00,@AmazonHelp Order status hasn't changed &amp; I've not gotten an email. TBA498760628000,,
489486,2017-12-01 17:11:36+00:00,@AmazonHelp I don't need the item returned. I'm receiving a replacement that I don't need.,,
1097355,2017-10-15 06:06:33+00:00,@AmazonHelp Three people have already investigated. This is one order in a long string of screw ups since your new delivery carriers. I’m done.,,
1493222,2017-11-11 11:37:09+00:00,"@AmazonHelp So it is now 11:30am no sign of my delivery, no email stating time, no nothing, Amazon you are really trying my patience",,
1844488,2017-11-08 05:15:03+00:00,@AmazonHelp ¿Pero debo de pagar por utilizar el servicio de prime video?,,
2398883,2017-10-20 11:44:51+00:00,@AmazonHelp I'm joking really. On Prime Movies under historical movies I found Noah but most people don't believe the Ark story happened even Christians,,
2679387,2017-11-19 15:02:14+00:00,@AmazonHelp Not reported since the expected delivery date as on order has not passed yet. Just wanted to bring to your notice that deliveries can be made faster if planned the correct way. Routing packages like Delhi &gt; Haryana &gt; Delhi is illogical. Everyone wants their order delivered ASAP.,,
477786,2017-12-01 12:18:41+00:00,"@AmazonHelp I've used the online chat 3 times since Tuesday and still no reset of code. Looks like wait for refund and then re-order. Will take about 3 weeks in total, not sure why I pay for prime.",,
590815,2017-12-03 17:48:07+00:00,"@AmazonHelp The product wasn't damaged but that's not the point. Your #carriers are more worried about making money than maintaining package integrity. This is the ""update"" on our printer. https://t.co/ZBNlcHGrgZ",,
1226477,2017-10-25 19:37:31+00:00,@AmazonHelp So earlier the green mark was right up to end now it’s just changed to this?! What’s point in prime if it can take up to the 27th?! https://t.co/uswliREmsy,,
1658958,2017-10-17 16:06:31+00:00,@AmazonHelp Waiting for delivery.... Still waiting. #amazonprime #nouse #poordelivery,,
1229506,2017-10-16 01:06:02+00:00,"@AmazonHelp Yes. It was supposed to be delivered by 8:00 tonight. At 8:00 the tracking changed to delivery ""between 10/15 and 10/17"" NOT COOL",,
1830715,2017-10-18 07:02:44+00:00,@AmazonHelp This not the first time i have ordered anything for amazon but this is definetlcthe first im facing an issue with customer support,,
2226747,2017-11-10 06:09:23+00:00,@AmazonHelp Okay waiting to hear back. There has been no mention of compensation for wasting my time and delay in getting the correct orderS.,,
1117729,2017-10-24 10:52:53+00:00,@AmazonHelp Not sure what to look for in above link.. I've already returned product ..,,
2883356,2017-11-28 11:25:37+00:00,"@AmazonHelp Details filled in ur form... lets wait for u to sort this out for me... ur customercare didnt! Despite payment, i didnt get the microwave i ordered!!!",,
348382,2017-10-08 06:56:36+00:00,@AmazonHelp I am not asking abt transfer. But to order again i ahve to add new balance instead of using old one.,,
